serial_number,start_date,end_date,duration,event,smart_5_raw,smart_9_raw,smart_187_raw,smart_197_raw,smart_198_raw,temp_mean,temp_max,temp_std,delta_smart_5_raw,delta_smart_196_raw,slope_smart_5_raw,slope_smart_196_raw,pending_present,age_years,log_age,health_risk_score
2128E5B74370,2025-01-01,2025-03-31,89,0,0.0,8647.222222222223,0.0,1.0,0.0,41.63333333333333,47.0,1.9745604292826555,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B74373,2025-01-01,2025-03-31,89,0,0.0,10443.044444444444,0.0,1.0,0.0,47.22222222222222,52.0,0.9975278083318205,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,7.0
2128E5B74374,2025-01-01,2025-03-31,89,0,0.0,9140.4,0.0,1.0,0.0,34.65555555555556,43.0,2.548032404778708,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B74378,2025-01-01,2025-03-31,89,0,0.0,8641.711111111112,0.0,1.0,0.0,36.22222222222222,43.0,1.331480193684039,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B74379,2025-01-01,2025-03-31,89,0,0.0,11194.766666666666,0.0,1.0,0.0,34.111111111111114,40.0,1.6016966313148422,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B7437B,2025-01-01,2025-03-31,89,0,10.0,13332.955555555556,0.0,1.0,0.0,44.5,53.0,2.5440562537456146,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,108.0
2128E5B74380,2025-01-01,2025-03-31,89,0,0.0,11751.655555555555,0.0,1.0,0.0,42.91111111111111,55.0,3.472573315582934,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,10.0
2128E5B74383,2025-01-01,2025-03-31,89,0,0.28888888888888886,8519.788888888888,0.0,1.0,0.0,38.72222222222222,46.0,2.1135950299471347,2.0,2.0,0.02247191011235955,0.02247191011235955,1,0.24383561643835616,4.499809670330265,7.888888888888888
2128E5B74387,2025-01-01,2025-03-31,89,0,0.0,7462.866666666667,0.0,1.0,0.0,40.87777777777778,57.0,2.4622833927419583,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,12.0
2128E5B74388,2025-01-01,2025-03-31,89,0,0.0,8465.477777777778,0.0,1.0,0.0,33.333333333333336,41.0,2.2310934040908386,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B7438A,2025-01-01,2025-03-31,89,0,0.0,9857.233333333334,0.0,1.0,0.0,42.0,50.0,1.8378731669453519,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B7438C,2025-01-01,2025-03-31,89,0,0.0,10949.711111111112,0.0,1.0,0.0,44.06666666666667,54.0,3.635626187849578,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,9.0
2128E5B7438D,2025-01-01,2025-03-31,89,0,0.0,13011.477777777778,0.0,1.0,0.0,42.51111111111111,49.0,2.2422431449304274,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B7438E,2025-01-01,2025-03-31,89,0,0.0,11574.511111111111,0.0,1.0,0.0,43.166666666666664,53.0,3.3274948868815013,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,8.0
2128E5B74398,2025-01-01,2025-03-31,89,0,0.0,9836.966666666667,0.0,1.0,0.0,39.18888888888889,46.0,1.5909078082405732,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B74399,2025-01-01,2025-03-31,89,0,0.0,11190.477777777778,0.0,1.0,0.0,43.477777777777774,53.0,3.300598524098988,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,8.0
2128E5B743B1,2025-01-01,2025-03-31,89,0,0.0,11748.2,0.0,1.0,0.0,42.62222222222222,48.0,1.8413628876326524,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2128E5B743B4,2025-01-01,2025-03-31,89,0,0.0,10514.193181818182,0.0,1.0,0.0,44.72727272727273,55.0,2.2448287681574235,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,10.0
2133E5C0B57D,2025-01-01,2025-03-31,89,0,0.0,16126.255555555555,0.0,0.0,0.0,36.5,38.0,0.7490735018081546,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE92,2025-01-01,2025-03-31,89,0,0.0,27313.32222222222,0.0,0.0,0.0,27.766666666666666,30.0,1.2297244497131254,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE93,2025-01-01,2025-03-31,89,0,0.0,27237.855555555554,0.0,0.0,0.0,27.833333333333332,32.0,1.3844373104863732,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE94,2025-01-01,2025-03-31,89,0,0.0,28171.477777777778,0.0,0.0,0.0,38.43333333333333,43.0,2.005824851110769,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE96,2025-01-01,2025-03-31,89,0,0.0,28362.38888888889,0.0,0.0,0.0,38.63333333333333,41.0,2.2776693741141805,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE97,2025-01-01,2025-03-31,89,0,0.0,25928.433333333334,0.0,0.0,0.0,33.27777777777778,41.0,3.158859772406557,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE98,2025-01-01,2025-03-31,89,0,0.0,26656.588888888888,0.0,0.0,0.0,27.31111111111111,33.0,1.1415821812481535,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE99,2025-01-01,2025-03-31,89,0,0.0,27431.088888888888,0.0,0.0,0.0,32.08888888888889,37.0,1.4192677646076517,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE9A,2025-01-01,2025-03-31,89,0,0.0,27677.733333333334,0.0,0.0,0.0,34.0,41.0,3.022140521771521,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE9B,2025-01-01,2025-03-31,89,0,0.0,27378.28888888889,0.0,0.0,0.0,26.18888888888889,30.0,0.6479788138587963,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE9C,2025-01-01,2025-03-31,89,0,0.0,26018.455555555556,0.0,0.0,0.0,32.86666666666667,42.0,4.784697830932817,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CE9D,2025-01-01,2025-03-31,89,0,0.0,27590.411111111112,0.0,1.0,0.0,34.644444444444446,36.0,0.5833068777068646,0.0,0.0,0.0,0.0,1,0.24383561643835616,4.499809670330265,5.0
2140E5D8CE9F,2025-01-01,2025-03-31,89,0,0.0,25538.155555555557,0.0,0.0,0.0,39.9,43.0,0.7000000000000065,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CEA0,2025-01-01,2025-03-31,89,0,0.0,28468.922222222223,0.0,0.0,0.0,38.422222222222224,42.0,1.490546341131841,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CEA1,2025-01-01,2025-03-31,89,0,0.0,28327.344444444443,0.0,0.0,0.0,37.17777777777778,40.0,1.362822053907747,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CEA3,2025-01-01,2025-03-31,89,0,0.0,27508.088888888888,0.0,0.0,0.0,34.9,43.0,2.8442925306655638,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CEA4,2025-01-01,2025-03-31,89,0,0.0,27734.977777777778,0.0,0.0,0.0,34.15555555555556,39.0,2.7443319815013947,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CEA5,2025-01-01,2025-03-31,89,0,0.0,28291.266666666666,0.0,0.0,0.0,39.94444444444444,43.0,1.409185037223974,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CF20,2025-01-01,2025-03-31,89,0,0.0,25611.966666666667,0.0,0.0,0.0,37.455555555555556,41.0,0.7327438708354007,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CF24,2025-01-01,2025-03-31,89,0,0.0,26204.62222222222,0.0,0.0,0.0,36.71111111111111,42.0,0.9456854591535759,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CF32,2025-01-01,2025-03-31,89,0,0.0,26195.43181818182,0.0,0.0,0.0,33.21590909090909,35.0,0.5319104426575668,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CF34,2025-01-01,2025-03-31,89,0,0.0,27446.933333333334,0.0,0.0,0.0,34.91111111111111,36.0,0.41216082202186427,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CF3D,2025-01-01,2025-03-31,89,0,0.0,27649.444444444445,0.0,0.0,0.0,35.58888888888889,37.0,0.5352973097975805,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CF44,2025-01-01,2025-03-31,89,0,0.0,25058.777777777777,0.0,0.0,0.0,33.86666666666667,36.0,0.7333333333332066,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8CF50,2025-01-01,2025-03-31,89,0,0.0,13513.566666666668,0.0,0.0,0.0,33.84444444444444,40.0,2.054323955363532,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7DA,2025-01-01,2025-03-31,89,0,0.0,25931.1,0.0,0.0,0.0,35.388888888888886,41.0,2.219581764629685,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7DB,2025-01-01,2025-03-31,89,0,0.0,27700.911111111112,0.0,0.0,0.0,35.5,38.0,1.9507833184532968,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7DC,2025-01-01,2025-03-31,89,0,0.0,27596.81111111111,0.0,0.0,0.0,33.48888888888889,35.0,0.7187094057242781,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7DD,2025-01-01,2025-03-31,89,0,0.0,27301.133333333335,0.0,0.0,0.0,26.133333333333333,28.0,0.45215533220835513,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7DE,2025-01-01,2025-03-31,89,0,0.0,24292.366666666665,0.0,0.0,0.0,35.766666666666666,43.0,1.757839583124736,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8D7E1,2025-01-01,2025-03-31,89,0,0.0,21919.155555555557,0.0,0.0,0.0,38.666666666666664,41.0,1.0540925533895555,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
